id,label
0,veu
1,half
2,half
3,half
4,half
5,half
6,half
7,half
8,half
9,crown
10,double
11,crown
12,crown
13,crown
14,crown
15,half
16,delta
17,plakat
18,delta
19,plakat
20,half
21,delta
22,half
23,double
24,double
25,veu
26,double
27,double
28,double
29,double
30,double
31,double
32,double
33,double
34,double
35,double
36,double
37,double
38,double
39,double
40,half
41,veu
42,half
43,plakat
44,plakat
45,plakat
46,plakat
47,plakat
48,veu
49,veu
50,half
51,half
52,half
53,half
54,half
55,plakat
56,plakat
57,half
58,plakat
59,plakat
60,plakat
61,plakat
62,plakat
63,half
64,plakat
65,plakat
66,plakat
67,plakat
68,plakat
69,plakat
70,veu
71,plakat
72,plakat
73,plakat
74,plakat
75,veu
76,veu
77,veu
78,veu
79,veu
80,veu
81,veu
82,veu
83,veu
84,veu
85,veu
86,veu
87,veu
88,crown
